Alloy Name,Grade,Standard,Density,Melting Point,Target Chemical Composition,Mechanical Properties,Typical Applications,Required Elements,Composition Limits
Inconel 625,625,ASTM B443,8.44,1320,"{""Ni"": 61.0, ""Cr"": 21.5, ""Mo"": 9.0, ""Nb"": 3.6, ""Fe"": 2.5, ""Mn"": 0.2, ""Si"": 0.2, ""C"": 0.05}","Tensile: 827 MPa, Yield: 414 MPa, Elongation: 30%","Marine exhaust ducts, chemical reaction vessels, flare stacks","Ni,Cr,Mo,Nb,Fe,C","{""Ni"": [58.0, 63.0], ""Cr"": [20.0, 23.0], ""Mo"": [8.0, 10.0], ""Nb"": [3.15, 4.15], ""Fe"": [0.0, 5.0]}"
Titanium Ti-6Al-4V,Ti-Grade 5,ASTM B348,4.43,1660,"{""Ti"": 90.0, ""Al"": 6.0, ""V"": 4.0, ""Fe"": 0.2, ""C"": 0.05}","Tensile: 950 MPa, Yield: 880 MPa, Hardness: 36 HRC","Aerospace structural bulkheads, jet engines, orthopedic implants","Ti,Al,V,Fe,C","{""Ti"": [88.0, 91.0], ""Al"": [5.5, 6.75], ""V"": [3.5, 4.5], ""Fe"": [0.0, 0.4]}"
High Carbon Steel 1095,1095,ASTM A29,7.84,1495,"{""Fe"": 98.4, ""C"": 0.95, ""Mn"": 0.4, ""Si"": 0.2, ""P"": 0.02, ""S"": 0.02}","Tensile: 650 MPa, Yield: 380 MPa, Hardness: 250 HB","Springs, knife blades, cutting tools, piano wires","Fe,C,Mn,Si","{""Fe"": [97.5, 99.0], ""C"": [0.9, 1.03], ""Mn"": [0.3, 0.5]}"
Mild Steel 1018,1018,ASTM A29,7.87,1500,"{""Fe"": 98.9, ""Mn"": 0.7, ""C"": 0.18, ""Si"": 0.2, ""P"": 0.02, ""S"": 0.02}","Tensile: 440 MPa, Yield: 370 MPa, Hardness: 126 HB","Pins, rods, shafts, gears, structural mounts","Fe,Mn,C,Si","{""Fe"": [98.0, 99.5], ""Mn"": [0.6, 0.9], ""C"": [0.15, 0.2]}"
Duplex F53 - Scen 1,GR-10,ASTM A182,7.8,1380,"{""Fe"": 66.0, ""Cr"": 23.5, ""Ni"": 7.0, ""Mo"": 3.76, ""Mn"": 1.128, ""Si"": 0.376, ""C"": 0.019}","Tensile: High, Yield: High, Hardness: Standard",Heat Exchangers,"Fe,Cr,Ni,Mo,Mn,Si,C","{""Fe"": [59.4, 72.6], ""Cr"": [21.15, 25.85], ""Ni"": [6.3, 7.7], ""Mo"": [3.384, 4.136], ""Mn"": [1.015, 1.241], ""Si"": [0.338, 0.414], ""C"": [0.017, 0.021]}"
Tool Steel A2 - Scen 1,GR-11,ASTM A681,7.86,1425,"{""Fe"": 92.0, ""Cr"": 4.85, ""C"": 0.97, ""Mo"": 0.97, ""V"": 0.291, ""Mn"": 0.388}","Tensile: High, Yield: High, Hardness: Standard",Punch plates,"Fe,Cr,C,Mo,V,Mn","{""Fe"": [82.8, 101.2], ""Cr"": [4.365, 5.335], ""C"": [0.873, 1.067], ""Mo"": [0.873, 1.067], ""V"": [0.262, 0.32], ""Mn"": [0.349, 0.427]}"
Tool Steel O1 - Scen 1,GR-12,ASTM A681,7.8,1430,"{""Fe"": 96.0, ""Mn"": 1.2, ""Cr"": 0.5, ""C"": 0.9, ""W"": 0.5, ""Si"": 0.3, ""V"": 0.2}","Tensile: High, Yield: High, Hardness: Standard",Cutting Dies,"Fe,Mn,Cr,C,W,Si,V","{""Fe"": [86.4, 105.6], ""Mn"": [1.08, 1.32], ""Cr"": [0.45, 0.55], ""C"": [0.81, 0.99], ""W"": [0.45, 0.55], ""Si"": [0.27, 0.33], ""V"": [0.18, 0.22]}"
Tool Steel M2 - Scen 1,GR-13,ASTM A681,8.1,1425,"{""Fe"": 80.0, ""W"": 6.18, ""Mo"": 5.15, ""Cr"": 4.12, ""V"": 2.06, ""C"": 0.875}","Tensile: High, Yield: High, Hardness: Standard",Drill bits,"Fe,W,Mo,Cr,V,C","{""Fe"": [72.0, 88.0], ""W"": [5.562, 6.798], ""Mo"": [4.635, 5.665], ""Cr"": [3.708, 4.532], ""V"": [1.854, 2.266], ""C"": [0.787, 0.963]}"
Alloy Steel 4130 - Scen 1,GR-14,ASTM A29,7.85,1430,"{""Fe"": 97.8, ""Cr"": 0.954, ""Mn"": 0.53, ""C"": 0.318, ""Mo"": 0.212, ""Si"": 0.212}","Tensile: High, Yield: High, Hardness: Standard",Bicycle frames,"Fe,Cr,Mn,C,Mo,Si","{""Fe"": [88.02, 107.58], ""Cr"": [0.859, 1.049], ""Mn"": [0.477, 0.583], ""C"": [0.286, 0.35], ""Mo"": [0.191, 0.233], ""Si"": [0.191, 0.233]}"
Alloy Steel 8620 - Scen 1,GR-15,ASTM A29,7.85,1425,"{""Fe"": 97.2, ""Ni"": 0.55, ""Cr"": 0.47, ""Mn"": 0.752, ""C"": 0.188, ""Mo"": 0.188}","Tensile: High, Yield: High, Hardness: Standard",Gear sleeves,"Fe,Ni,Cr,Mn,C,Mo","{""Fe"": [87.48, 106.92], ""Ni"": [0.495, 0.605], ""Cr"": [0.423, 0.517], ""Mn"": [0.677, 0.827], ""C"": [0.169, 0.207], ""Mo"": [0.169, 0.207]}"
High Carbon 1075 - Scen 1,GR-16,ASTM A29,7.84,1490,"{""Fe"": 98.6, ""C"": 0.728, ""Mn"": 0.582}","Tensile: High, Yield: High, Hardness: Standard",Clutch plates,"Fe,C,Mn","{""Fe"": [88.74, 108.46], ""C"": [0.655, 0.801], ""Mn"": [0.524, 0.64]}"
Low Carbon 1020 - Scen 1,GR-17,ASTM A29,7.87,1500,"{""Fe"": 98.9, ""Mn"": 0.5, ""C"": 0.2, ""Si"": 0.25}","Tensile: High, Yield: High, Hardness: Standard",Cold headed bolts,"Fe,Mn,C,Si","{""Fe"": [89.01, 108.79], ""Mn"": [0.45, 0.55], ""C"": [0.18, 0.22], ""Si"": [0.225, 0.275]}"
Aluminum 6061 - Scen 1,GR-18,ASTM B209,2.7,582,"{""Al"": 97.9, ""Mg"": 1.03, ""Si"": 0.618, ""Fe"": 0.25, ""Cu"": 0.25}","Tensile: High, Yield: High, Hardness: Standard",Bicycle Frames,"Al,Mg,Si,Fe,Cu","{""Al"": [88.11, 107.69], ""Mg"": [0.927, 1.133], ""Si"": [0.556, 0.68], ""Fe"": [0.225, 0.275], ""Cu"": [0.225, 0.275]}"
Aluminum 7075 - Scen 1,GR-19,ASTM B209,2.81,477,"{""Al"": 90.0, ""Zn"": 5.936, ""Mg"": 2.65, ""Cu"": 1.6, ""Cr"": 0.244}","Tensile: High, Yield: High, Hardness: Standard",Aircraft wings,"Al,Zn,Mg,Cu,Cr","{""Al"": [81.0, 99.0], ""Zn"": [5.342, 6.53], ""Mg"": [2.385, 2.915], ""Cu"": [1.44, 1.76], ""Cr"": [0.22, 0.268]}"
Brass C360 - Scen 1,GR-20,ASTM B16,8.5,900,"{""Cu"": 61.5, ""Zn"": 33.37, ""Pb"": 2.82}","Tensile: High, Yield: High, Hardness: Standard",Fitting gears,"Cu,Zn,Pb","{""Cu"": [55.35, 67.65], ""Zn"": [30.033, 36.707], ""Pb"": [2.538, 3.102]}"
Bronze C932 - Scen 1,GR-21,ASTM B505,8.83,950,"{""Cu"": 83.0, ""Sn"": 6.79, ""Pb"": 6.79, ""Zn"": 2.91}","Tensile: High, Yield: High, Hardness: Standard",Bearings bushings,"Cu,Sn,Pb,Zn","{""Cu"": [74.7, 91.3], ""Sn"": [6.111, 7.469], ""Pb"": [6.111, 7.469], ""Zn"": [2.619, 3.201]}"
Duplex F53 - Scen 2,GR-22,ASTM A182,7.8,1380,"{""Fe"": 66.0, ""Cr"": 25.0, ""Ni"": 7.0, ""Mo"": 4.0, ""Mn"": 1.2, ""Si"": 0.4, ""C"": 0.02}","Tensile: High, Yield: High, Hardness: Standard",Heat Exchangers,"Fe,Cr,Ni,Mo,Mn,Si,C","{""Fe"": [59.4, 72.6], ""Cr"": [22.5, 27.5], ""Ni"": [6.3, 7.7], ""Mo"": [3.6, 4.4], ""Mn"": [1.08, 1.32], ""Si"": [0.36, 0.44], ""C"": [0.018, 0.022]}"
Tool Steel A2 - Scen 2,GR-23,ASTM A681,7.86,1425,"{""Fe"": 92.0, ""Cr"": 5.15, ""C"": 1.03, ""Mo"": 1.03, ""V"": 0.309, ""Mn"": 0.412}","Tensile: High, Yield: High, Hardness: Standard",Punch plates,"Fe,Cr,C,Mo,V,Mn","{""Fe"": [82.8, 101.2], ""Cr"": [4.635, 5.665], ""C"": [0.927, 1.133], ""Mo"": [0.927, 1.133], ""V"": [0.278, 0.34], ""Mn"": [0.371, 0.453]}"
Tool Steel O1 - Scen 2,GR-24,ASTM A681,7.8,1430,"{""Fe"": 96.0, ""Mn"": 1.272, ""Cr"": 0.53, ""C"": 0.954, ""W"": 0.53, ""Si"": 0.318, ""V"": 0.212}","Tensile: High, Yield: High, Hardness: Standard",Cutting Dies,"Fe,Mn,Cr,C,W,Si,V","{""Fe"": [86.4, 105.6], ""Mn"": [1.145, 1.399], ""Cr"": [0.477, 0.583], ""C"": [0.859, 1.049], ""W"": [0.477, 0.583], ""Si"": [0.286, 0.35], ""V"": [0.191, 0.233]}"
Tool Steel M2 - Scen 2,GR-25,ASTM A681,8.1,1425,"{""Fe"": 80.0, ""W"": 5.64, ""Mo"": 4.7, ""Cr"": 3.76, ""V"": 1.88, ""C"": 0.799}","Tensile: High, Yield: High, Hardness: Standard",Drill bits,"Fe,W,Mo,Cr,V,C","{""Fe"": [72.0, 88.0], ""W"": [5.076, 6.204], ""Mo"": [4.23, 5.17], ""Cr"": [3.384, 4.136], ""V"": [1.692, 2.068], ""C"": [0.719, 0.879]}"
Alloy Steel 4130 - Scen 2,GR-26,ASTM A29,7.85,1430,"{""Fe"": 97.8, ""Cr"": 0.873, ""Mn"": 0.485, ""C"": 0.291, ""Mo"": 0.194, ""Si"": 0.194}","Tensile: High, Yield: High, Hardness: Standard",Bicycle frames,"Fe,Cr,Mn,C,Mo,Si","{""Fe"": [88.02, 107.58], ""Cr"": [0.786, 0.96], ""Mn"": [0.436, 0.533], ""C"": [0.262, 0.32], ""Mo"": [0.175, 0.213], ""Si"": [0.175, 0.213]}"
Alloy Steel 8620 - Scen 2,GR-27,ASTM A29,7.85,1425,"{""Fe"": 97.2, ""Ni"": 0.55, ""Cr"": 0.5, ""Mn"": 0.8, ""C"": 0.2, ""Mo"": 0.2}","Tensile: High, Yield: High, Hardness: Standard",Gear sleeves,"Fe,Ni,Cr,Mn,C,Mo","{""Fe"": [87.48, 106.92], ""Ni"": [0.495, 0.605], ""Cr"": [0.45, 0.55], ""Mn"": [0.72, 0.88], ""C"": [0.18, 0.22], ""Mo"": [0.18, 0.22]}"
High Carbon 1075 - Scen 2,GR-28,ASTM A29,7.84,1490,"{""Fe"": 98.6, ""C"": 0.772, ""Mn"": 0.618}","Tensile: High, Yield: High, Hardness: Standard",Clutch plates,"Fe,C,Mn","{""Fe"": [88.74, 108.46], ""C"": [0.695, 0.849], ""Mn"": [0.556, 0.68]}"
Low Carbon 1020 - Scen 2,GR-29,ASTM A29,7.87,1500,"{""Fe"": 98.9, ""Mn"": 0.53, ""C"": 0.212, ""Si"": 0.265}","Tensile: High, Yield: High, Hardness: Standard",Cold headed bolts,"Fe,Mn,C,Si","{""Fe"": [89.01, 108.79], ""Mn"": [0.477, 0.583], ""C"": [0.191, 0.233], ""Si"": [0.239, 0.292]}"
Aluminum 6061 - Scen 2,GR-30,ASTM B209,2.7,582,"{""Al"": 97.9, ""Mg"": 0.94, ""Si"": 0.564, ""Fe"": 0.25, ""Cu"": 0.25}","Tensile: High, Yield: High, Hardness: Standard",Bicycle Frames,"Al,Mg,Si,Fe,Cu","{""Al"": [88.11, 107.69], ""Mg"": [0.846, 1.034], ""Si"": [0.508, 0.62], ""Fe"": [0.225, 0.275], ""Cu"": [0.225, 0.275]}"
Aluminum 7075 - Scen 2,GR-31,ASTM B209,2.81,477,"{""Al"": 90.0, ""Zn"": 5.432, ""Mg"": 2.425, ""Cu"": 1.6, ""Cr"": 0.223}","Tensile: High, Yield: High, Hardness: Standard",Aircraft wings,"Al,Zn,Mg,Cu,Cr","{""Al"": [81.0, 99.0], ""Zn"": [4.889, 5.975], ""Mg"": [2.183, 2.667], ""Cu"": [1.44, 1.76], ""Cr"": [0.201, 0.245]}"
Brass C360 - Scen 2,GR-32,ASTM B16,8.5,900,"{""Cu"": 61.5, ""Zn"": 35.5, ""Pb"": 3.0}","Tensile: High, Yield: High, Hardness: Standard",Fitting gears,"Cu,Zn,Pb","{""Cu"": [55.35, 67.65], ""Zn"": [31.95, 39.05], ""Pb"": [2.7, 3.3]}"
Bronze C932 - Scen 2,GR-33,ASTM B505,8.83,950,"{""Cu"": 83.0, ""Sn"": 7.21, ""Pb"": 7.21, ""Zn"": 3.09}","Tensile: High, Yield: High, Hardness: Standard",Bearings bushings,"Cu,Sn,Pb,Zn","{""Cu"": [74.7, 91.3], ""Sn"": [6.489, 7.931], ""Pb"": [6.489, 7.931], ""Zn"": [2.781, 3.399]}"
Duplex F53 - Scen 3,GR-34,ASTM A182,7.8,1380,"{""Fe"": 66.0, ""Cr"": 26.5, ""Ni"": 7.0, ""Mo"": 4.24, ""Mn"": 1.272, ""Si"": 0.424, ""C"": 0.021}","Tensile: High, Yield: High, Hardness: Standard",Heat Exchangers,"Fe,Cr,Ni,Mo,Mn,Si,C","{""Fe"": [59.4, 72.6], ""Cr"": [23.85, 29.15], ""Ni"": [6.3, 7.7], ""Mo"": [3.816, 4.664], ""Mn"": [1.145, 1.399], ""Si"": [0.382, 0.466], ""C"": [0.019, 0.023]}"
Tool Steel A2 - Scen 3,GR-35,ASTM A681,7.86,1425,"{""Fe"": 92.0, ""Cr"": 4.7, ""C"": 0.94, ""Mo"": 0.94, ""V"": 0.282, ""Mn"": 0.376}","Tensile: High, Yield: High, Hardness: Standard",Punch plates,"Fe,Cr,C,Mo,V,Mn","{""Fe"": [82.8, 101.2], ""Cr"": [4.23, 5.17], ""C"": [0.846, 1.034], ""Mo"": [0.846, 1.034], ""V"": [0.254, 0.31], ""Mn"": [0.338, 0.414]}"
Tool Steel O1 - Scen 3,GR-36,ASTM A681,7.8,1430,"{""Fe"": 96.0, ""Mn"": 1.164, ""Cr"": 0.485, ""C"": 0.873, ""W"": 0.485, ""Si"": 0.291, ""V"": 0.194}","Tensile: High, Yield: High, Hardness: Standard",Cutting Dies,"Fe,Mn,Cr,C,W,Si,V","{""Fe"": [86.4, 105.6], ""Mn"": [1.048, 1.28], ""Cr"": [0.436, 0.533], ""C"": [0.786, 0.96], ""W"": [0.436, 0.533], ""Si"": [0.262, 0.32], ""V"": [0.175, 0.213]}"
Tool Steel M2 - Scen 3,GR-37,ASTM A681,8.1,1425,"{""Fe"": 80.0, ""W"": 6.0, ""Mo"": 5.0, ""Cr"": 4.0, ""V"": 2.0, ""C"": 0.85}","Tensile: High, Yield: High, Hardness: Standard",Drill bits,"Fe,W,Mo,Cr,V,C","{""Fe"": [72.0, 88.0], ""W"": [5.4, 6.6], ""Mo"": [4.5, 5.5], ""Cr"": [3.6, 4.4], ""V"": [1.8, 2.2], ""C"": [0.765, 0.935]}"
Alloy Steel 4130 - Scen 3,GR-38,ASTM A29,7.85,1430,"{""Fe"": 97.8, ""Cr"": 0.927, ""Mn"": 0.515, ""C"": 0.309, ""Mo"": 0.206, ""Si"": 0.206}","Tensile: High, Yield: High, Hardness: Standard",Bicycle frames,"Fe,Cr,Mn,C,Mo,Si","{""Fe"": [88.02, 107.58], ""Cr"": [0.834, 1.02], ""Mn"": [0.464, 0.567], ""C"": [0.278, 0.34], ""Mo"": [0.185, 0.227], ""Si"": [0.185, 0.227]}"
Alloy Steel 8620 - Scen 3,GR-39,ASTM A29,7.85,1425,"{""Fe"": 97.2, ""Ni"": 0.55, ""Cr"": 0.53, ""Mn"": 0.848, ""C"": 0.212, ""Mo"": 0.212}","Tensile: High, Yield: High, Hardness: Standard",Gear sleeves,"Fe,Ni,Cr,Mn,C,Mo","{""Fe"": [87.48, 106.92], ""Ni"": [0.495, 0.605], ""Cr"": [0.477, 0.583], ""Mn"": [0.763, 0.933], ""C"": [0.191, 0.233], ""Mo"": [0.191, 0.233]}"
High Carbon 1075 - Scen 3,GR-40,ASTM A29,7.84,1490,"{""Fe"": 98.6, ""C"": 0.705, ""Mn"": 0.564}","Tensile: High, Yield: High, Hardness: Standard",Clutch plates,"Fe,C,Mn","{""Fe"": [88.74, 108.46], ""C"": [0.634, 0.775], ""Mn"": [0.508, 0.62]}"
Low Carbon 1020 - Scen 3,GR-41,ASTM A29,7.87,1500,"{""Fe"": 98.9, ""Mn"": 0.485, ""C"": 0.194, ""Si"": 0.242}","Tensile: High, Yield: High, Hardness: Standard",Cold headed bolts,"Fe,Mn,C,Si","{""Fe"": [89.01, 108.79], ""Mn"": [0.436, 0.533], ""C"": [0.175, 0.213], ""Si"": [0.218, 0.266]}"
